campus,dept_group,dept_group_detail,dept_name,roster_id,job_title,job_family,full_time_pct,total,empl_record
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30095 -- CLAS-Communication,CLAS-Communication,R25-1041572,SENIOR INSTRUCTOR,Regular Faculty,100,"$77,493.00",0
CU Denver,D0015 -- D-SEHD-SCHOOL OF EDUC&HUMANDEV,30062 -- SEHD DEAN,SEHD DEAN,R25-1041579,LECTURER,Other Faculty,22.5,"$5,000.00",0
CU Denver,D0016 -- D-CEDC-Dean of Engineering,30073 -- CEDC-Civil Engineering,CEDC-Civil Engineering,R25-1041615,LECTURER,Other Faculty,22.5,"$6,000.00",0
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30109 -- CLAS-Political Science,CLAS-Political Science,R25-1041652,ASSOCIATE TEACHING PROFESSOR,Regular Faculty,80,"$65,664.00",0
CU Denver,U0075 -- U-VCASA/EVC Acad &Stdnt Affrs,D0011 -- D-AVCFA-Faculty Affairs,AVCASA-FAUE FacAffrs/UG Enrich,R25-1041652,ACADEMIC SERVICES ASST DIR,Univ Staff - Academic Services,20,"$20,949.00",1
CU Denver,D0014 -- D-BUS-DEAN OF BUSINESS,30055 -- Business School,Business School,R25-1041660,ASSOCIATE PROFESSOR,Regular Faculty,100,"$181,739.00",0
CU Denver,D0014 -- D-BUS-DEAN OF BUSINESS,30055 -- Business School,Business School,R25-1041660,ASSOCIATE PROFESSOR,Regular Faculty,6.25,"$5,581.00",2
CU Denver,D0014 -- D-BUS-DEAN OF BUSINESS,30055 -- Business School,Business School,R25-1041660,ASSOCIATE PROFESSOR,Regular Faculty,2.5,"$15,416.00",4
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30093 -- CLAS-Biology,CLAS-Biology,R25-1041669,LABORATORY COORD III,Class Staff-Physical Sc & Engg,100,"$92,748.00",0
CU Denver,U0075 -- U-VCASA/EVC Acad &Stdnt Affrs,D0013 -- D-VCSSLS-StratEnrll&StdntScces,VCSSLS-AVCSETLS-SS Stud Orient,R25-1041678,ACADEMIC SERVICES DIRECTOR,Univ Staff - Academic Services,100,"$94,614.00",0
CU Denver,U0075 -- U-VCASA/EVC Acad &Stdnt Affrs,D0013 -- D-VCSSLS-StratEnrll&StdntScces,AVCSETLS-SS XferPthwy&Trnstion,R25-1041682,ACADEMIC SERVICES PRGM DIR,Univ Staff - Academic Services,100,"$90,843.00",0
CU Denver,D0015 -- D-SEHD-SCHOOL OF EDUC&HUMANDEV,30062 -- SEHD DEAN,SEHD DEAN,R25-1041699,ACADEMIC SERVICES MANAGER,Univ Staff - Academic Services,100,"$78,296.00",0
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30098 -- CLAS-English,CLAS-English,R25-1041714,ASSOCIATE TEACHING PROFESSOR,Regular Faculty,100,"$82,292.00",0
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30098 -- CLAS-English,CLAS-English,R25-1041714,ASSC TEACHING PROFESSOR-CO,Regular Faculty,2.5,"$5,000.00",4
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30096 -- CLAS-Economics,CLAS-Economics,R25-1041718,PROGRAM ASSISTANT I,Class Staff-Professional Srvce,100,"$73,668.00",0
CU Denver,D0014 -- D-BUS-DEAN OF BUSINESS,30055 -- Business School,Business School,R25-1041722,LECTURER,Other Faculty,67.5,"$16,605.00",0
CU Denver,D0014 -- D-BUS-DEAN OF BUSINESS,30055 -- Business School,Business School,R25-1041722,LECTURER,Other Faculty,22.5,"$5,700.00",1
CU Denver,U0075 -- U-VCASA/EVC Acad &Stdnt Affrs,D0013 -- D-VCSSLS-StratEnrll&StdntScces,VCSSLS-HWAS Stdnt&CommCounslng,R25-1041728,BUSINESS SERVICES PROGRAM MGR,Univ Staff - Business Services,100,"$88,572.00",0
CU Denver,D0017 -- D-SPA-DEAN OF PUBLIC AFFAIRS,30081 -- SPA - OTHER,SPA - OTHER,R25-1041731,PROFESSOR,Regular Faculty,100,"$132,600.00",0
CU Denver,D0017 -- D-SPA-DEAN OF PUBLIC AFFAIRS,30081 -- SPA - OTHER,SPA - OTHER,R25-1041731,DIRECTOR-FACULTY,Administrative Faculty,12.5,"$10,000.00",2
CU Denver,D0017 -- D-SPA-DEAN OF PUBLIC AFFAIRS,30081 -- SPA - OTHER,SPA - OTHER,R25-1041731,DIRECTOR-FACULTY,Administrative Faculty,5,"$13,333.00",4
CU Denver,D0016 -- D-CEDC-Dean of Engineering,30073 -- CEDC-Civil Engineering,CEDC-Civil Engineering,R25-1041735,ASSOCIATE TEACHING PROFESSOR,Regular Faculty,80,"$71,978.00",0
CU Denver,D0016 -- D-CEDC-Dean of Engineering,30073 -- CEDC-Civil Engineering,CEDC-Civil Engineering,R25-1041735,ASSC PROFESSOR CLINICAL (C/T),Clinical Faculty,60,"$1,499.00",2
CU Denver,U0075 -- U-VCASA/EVC Acad &Stdnt Affrs,D0013 -- D-VCSSLS-StratEnrll&StdntScces,VCSSLS-HWAS Stdnt&CommCounslng,R25-1041739,HEALTH CARE SENIOR PROF,Univ Staff - Healthcare,50,"$39,270.00",0
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30100 -- CLAS-Ethnic Studies,CLAS-Ethnic Studies,R25-1041745,LECTURER,Other Faculty,22.5,"$5,000.00",0
CU Denver,D0015 -- D-SEHD-SCHOOL OF EDUC&HUMANDEV,30062 -- SEHD DEAN,SEHD DEAN,R25-1041761,TEACHING PROFESSOR,Regular Faculty,100,"$101,344.00",0
CU Denver,D0015 -- D-SEHD-SCHOOL OF EDUC&HUMANDEV,30062 -- SEHD DEAN,SEHD DEAN,R25-1041761,TEACHING PROFESSOR,Regular Faculty,2.5,"$12,000.00",1
CU Denver,D0014 -- D-BUS-DEAN OF BUSINESS,30055 -- Business School,Business School,R25-1041767,PRINCIPAL INSTRUCTOR,Regular Faculty,100,"$92,203.00",0
CU Denver,D0014 -- D-BUS-DEAN OF BUSINESS,30055 -- Business School,Business School,R25-1041767,SENIOR INSTRUCTOR,Regular Faculty,2.5,"$9,000.00",1
CU Denver,D0014 -- D-BUS-DEAN OF BUSINESS,30055 -- Business School,Business School,R25-1041767,DIRECTOR-FACULTY,Administrative Faculty,2.5,"$19,000.00",2
CU Denver,D0015 -- D-SEHD-SCHOOL OF EDUC&HUMANDEV,30062 -- SEHD DEAN,SEHD DEAN,R25-1041770,ASST DEAN,Univ Staff - Executive,100,"$132,473.00",0
CU Denver,D0020 -- D-CAM-DEAN OF ARTS & MEDIA,30121 -- CAM-Music & Entertainment,CAM-Music & Entertainment,R25-1041774,LECTURER,Other Faculty,22.5,"$15,851.00",0
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30093 -- CLAS-Biology,CLAS-Biology,R25-1041776,PROGRAM ASSISTANT I,Class Staff-Professional Srvce,50,"$36,288.00",0
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30110 -- CLAS-Psychology,CLAS-Psychology,R25-1041797,PROFESSOR,Regular Faculty,100,"$115,295.00",0
CU Denver,U0075 -- U-VCASA/EVC Acad &Stdnt Affrs,D0013 -- D-VCSSLS-StratEnrll&StdntScces,AVCSETLS-OIA Int'l Educatn,R25-1041810,BUSINESS SERVICES ASST DIR,Univ Staff - Business Services,100,"$87,062.00",0
CU Denver,D0019 -- D-CAP-DEAN-ARCHITECTURE & PLAN,30178 -- CAP-Landscape Arch Dept,CAP-Landscape Arch Dept,R25-1041822,LECTURER,Other Faculty,22.5,"$5,730.00",0
CU Denver,D0016 -- D-CEDC-Dean of Engineering,30214 -- CEDC-Bioengineering,CEDC-Bioengineering,R25-1041824,PROFESSOR,Regular Faculty,100,"$200,442.00",0
CU Denver,D0016 -- D-CEDC-Dean of Engineering,30214 -- CEDC-Bioengineering,CEDC-Bioengineering,R25-1041824,CHAIR,Administrative Faculty,2.5,"$20,044.00",1
CU Denver,D0016 -- D-CEDC-Dean of Engineering,30214 -- CEDC-Bioengineering,CEDC-Bioengineering,R25-1041824,PROFESSOR,Regular Faculty,100,"$8,909.00",2
