campus,dept_group,dept_group_detail,dept_name,roster_id,job_title,job_family,full_time_pct,total,empl_record
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-MED-Cardiology,R25-1009542,INSTRUCTOR,Regular Faculty,100,"$130,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-MED ENDO AHWC Gen Ops,R25-1009557,POST-DOCTORAL FELLOW,Other Faculty,100,"$62,652.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PEDS Neurology-GenOps,R25-1009579,ASSISTANT PROFESSOR,Regular Faculty,100,"$230,500.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PEDS Hematology-Onc-GenOps,R25-1009589,INSTRUCTOR,Regular Faculty,100,"$115,260.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-AN Adult GeneralOperations,R25-1009591,INSTRUCTOR,Regular Faculty,100,"$225,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-MED-Clinical Immunology,R25-1009597,ADMIN ASSISTANT III,US-Auxilliary Funding (CS),100,"$60,141.00",0
CU Anschutz,U0006 -- U-ADM ADMINISTRATN AND FINANCE,U0107 -- U-ADM AF Executive VC,ADM AVCFC OGC ADMINISTRATION,R25-1009612,RESEARCH SERVICES PROFESSIONAL,Univ Staff - Research Services,100,"$64,890.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-MED-Gastroenterology,R25-1009623,POST-DOCTORAL FELLOW,Other Faculty,100,"$62,232.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-MED-ONC GENERAL OPERATIONS,R25-1009624,ASSISTANT RESEARCH PROFESSOR,Research Faculty,100,"$98,325.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-RAD GENERAL OPERATIONS,R25-1009639,SENIOR INSTRUCTOR,Regular Faculty,100,"$475,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0020 -- H-SOM-Dean School of Medicine,SOM-DEAN DO CPD - OB-GYN,R25-1009651,ADMIN ASSISTANT II,US-Auxilliary Funding (CS),60,"$30,967.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-OB/GYN RS GENERAL OPS,R25-1009653,RESEARCH SERVICES ENTRY PROF,Univ Staff - Research Services,100,"$46,274.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-MED Hemo-Thrombosis Ctr,R25-1009681,POST-DOCTORAL FELLOW,Other Faculty,100,"$62,232.00",0
