campus,dept_group,dept_group_detail,dept_name,roster_id,job_title,job_family,full_time_pct,total,empl_record
System Administration,S0008 -- S-Office of President,50206 -- Advancement Operations,Advancement Operations,R25-1031200,IT PRINCIPAL PROF,Univ Staff - Information Tech.,100,"$106,264.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1031270,IT ASST DIR,Univ Staff - Information Tech.,100,"$138,661.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1031298,IT SENIOR PROF,Univ Staff - Information Tech.,100,"$66,229.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1031344,IT PRINCIPAL PROF,Univ Staff - Information Tech.,100,"$114,261.00",0
System Administration,S0040 -- Univ Counsel/VIP,50057 -- University Counsel,University Counsel,R25-1031378,ASSOCIATE COUNSEL,Univ Staff - Audit and Legal,100,"$218,689.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50029 -- VPBF-Payroll/Benefits Center,Employee Services,R25-1031385,HR ASST DIR,Univ Staff - Human Resources,100,"$108,150.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1031412,IT ASST DIR,Univ Staff - Information Tech.,100,"$145,739.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50029 -- VPBF-Payroll/Benefits Center,Employee Services,R25-1031479,HR SENIOR PROF,Univ Staff - Human Resources,100,"$76,862.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50027 -- University Controller,University Controller,R25-1031517,FINANCE/ACCTG SENIOR PROF,Univ Staff- Finance & Acct.,100,"$75,202.00",0
System Administration,S0008 -- S-Office of President,50206 -- Advancement Operations,Advancement Operations,R25-1031518,DEVELOPMENT ASSOC DIR,Univ Staff - Development,100,"$138,000.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50029 -- VPBF-Payroll/Benefits Center,Employee Services,R25-1031601,HR SENIOR PROF,Univ Staff - Human Resources,100,"$75,324.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50030 -- VPBF-Procurement Center,Procurement Service Center,R25-1031638,BUSINESS SERVICES PROFESSIONAL,Univ Staff - Business Services,100,"$65,000.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50029 -- VPBF-Payroll/Benefits Center,Employee Services,R25-1031699,COMMUNICATION PRINCIPAL PR,Univ Staff - Communication,100,"$82,000.00",0
