campus,dept_group,dept_group_detail,dept_name,roster_id,job_title,job_family,full_time_pct,total,empl_record
CU Boulder,B0122 -- B-Finance & Business Strategy,B0113 -- SVC-Infrastructure & Sustain,FM Campus Building Srvcs,R25-1039203,CUSTODIAN I,"Class Staff-Labor,Trades&Crfts",100,"$49,992.00",0
CU Boulder,B0017 -- B-VC RSCH & INSTITUTES,B0168 -- B-INSTITUTES,Lab Atmos/Space Physics,R25-1039205,PROFESSIONAL RESEARCH ASST,Research Faculty,100,"$135,845.00",0
CU Boulder,B0017 -- B-VC RSCH & INSTITUTES,B0168 -- B-INSTITUTES,Lab Atmos/Space Physics,R25-1039206,PROFESSIONAL RESEARCH ASST,Research Faculty,100,"$120,544.00",1
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0070 -- B-College of Engr&Applied Sci,College Engineering & App Sci,R25-1039230,ASSOC DIRECTOR-FACULTY,Administrative Faculty,5,"$6,380.00",1
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0070 -- B-College of Engr&Applied Sci,"CivilEng-Civil,Env&Arch Engin",R25-1039230,SCHOLAR IN RESIDENCE,Regular Faculty,50,"$63,801.00",2
CU Boulder,B0295 -- Health & Wellness Svcs,10750 -- Victim Assistance,Victim Assistance,R25-1039240,HEALTH CARE DIRECTOR,Univ Staff - Healthcare,100,"$139,739.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0035 -- B-VCAA-College Arts & Sciences,Religious Studies,R25-1039242,ASSOCIATE PROFESSOR,Regular Faculty,100,"$73,975.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0085 -- B-VCAA-College of Music,College of Music,R25-1039245,ARTS PROFESSIONAL I,Class Staff-Professional Srvce,30,"$17,904.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0035 -- B-VCAA-College Arts & Sciences,Ecology & Evolutionary Biology,R25-1039250,PROFESSOR,Regular Faculty,100,"$139,908.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0035 -- B-VCAA-College Arts & Sciences,Integrative Physiology,R25-1039252,PROFESSIONAL RESEARCH ASST,Research Faculty,2.5,"$2,704.00",0
CU Boulder,B0295 -- Health & Wellness Svcs,10381 -- Counseling & Psych Services,Counseling & Psych Services,R25-1039254,SOCIAL WORK/COUNSELOR III,Class Staff - HealthCare & Srv,100,"$103,656.00",0
CU Boulder,B0087 -- B-VC for Student Life,B0088 -- B-VCSA-VC for Student Affairs,Cltrl Connections & Community,R25-1039258,STUDENT SERVICES DIRECTOR,Univ Staff - Student Services,100,"$114,400.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0070 -- B-College of Engr&Applied Sci,"CivilEng-Civil,Env&Arch Engin",R25-1039259,SR PROFESSIONAL RESEARCH ASST,Research Faculty,100,"$102,752.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0085 -- B-VCAA-College of Music,College of Music,R25-1039262,MEDIA SPECIALIST IV,Class Staff-Professional Srvce,100,"$76,536.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0035 -- B-VCAA-College Arts & Sciences,A&S Residential Acad Programs,R25-1039265,ASSOCIATE TEACHING PROFESSOR,Regular Faculty,50,"$41,624.00",0
CU Boulder,B0017 -- B-VC RSCH & INSTITUTES,B0168 -- B-INSTITUTES,Crown Institute,R25-1039265,RESEARCH ASSOCIATE,Research Faculty,35,"$28,502.00",2
