campus,dept_group,dept_group_detail,dept_name,roster_id,job_title,job_family,full_time_pct,total,empl_record
UCCS,"C0012 -- AA-College of Letters,Arts&Sci",40073 -- LAS-History,LAS-History,R25-1007126,SCHOLAR IN RESIDENCE,Regular Faculty,100,"$58,000.00",0
UCCS,"C0012 -- AA-College of Letters,Arts&Sci",40067 -- LAS-Anthropology,LAS-Anthropology,R25-1007126,LECTURER-SECONDARY STAFF MBR,Other Faculty,2.5,"$3,135.00",1
UCCS,"C0012 -- AA-College of Letters,Arts&Sci",40056 -- LAS-Humanities,LAS-Humanities,R25-1007126,LECTURER-SECONDARY STAFF MBR,Other Faculty,2.5,"$4,000.00",2
UCCS,C0009 -- AA-College of Business,40025 -- BUS-Administrative Ops,BUS-Administrative Ops,R25-1007164,LECTURER,Other Faculty,22.5,"$3,000.00",0
UCCS,C0007 -- AA-Administration,40363 -- AA-Undergraduate Education,AA-Undergraduate Education,R25-1007174,LECTURER,Other Faculty,22.5,"$5,000.00",0
UCCS,C0007 -- AA-Administration,40246 -- AA-BIOFRONTIERS-UCCS CNTR,AA-BIOFRONTIERS-UCCS CNTR,R25-1007198,VISITING RESEARCH ASSOCIATE,Research Faculty,12.5,"$6,360.00",0
UCCS,C0007 -- AA-Administration,40386 -- Chanc-Lyda Hill Inst - Hum Res,Chanc-Lyda Hill Inst - Hum Res,R25-1007223,RESEARCH ASSOCIATE,Research Faculty,100,"$59,000.00",0
UCCS,"C0012 -- AA-College of Letters,Arts&Sci",40073 -- LAS-History,LAS-History,R25-1007244,ASSISTANT TEACHING PROFESSOR,Regular Faculty,50,"$25,000.00",0
UCCS,C0010 -- AA-College of Education,40041 -- COE-Teaching & Learning,COE-Teaching & Learning,R25-1007271,LECTURER,Other Faculty,22.5,"$3,000.00",0
UCCS,C0017 -- AA-College of Nursing,40081 -- Beth-El UG Nursing,Beth-El UG Nursing,R25-1007319,ASSISTANT TEACHING PROFESSOR,Regular Faculty,100,"$64,000.00",0
UCCS,C0017 -- AA-College of Nursing,40081 -- Beth-El UG Nursing,Beth-El UG Nursing,R25-1007319,ASST TEACHING PROFESSOR-ST,Regular Faculty,2.5,"$6,000.00",1
UCCS,C0017 -- AA-College of Nursing,40081 -- Beth-El UG Nursing,Beth-El UG Nursing,R25-1007319,ASST TEACHING PROFESSOR-CO,Regular Faculty,2.5,$75.00,2
UCCS,C0017 -- AA-College of Nursing,40081 -- Beth-El UG Nursing,Beth-El UG Nursing,R25-1007319,ASST TEACHING PROFESSOR-ST,Regular Faculty,2.5,"$1,600.00",3
UCCS,C0017 -- AA-College of Nursing,40081 -- Beth-El UG Nursing,Beth-El UG Nursing,R25-1007417,LECTURER,Other Faculty,30,"$15,180.00",0
UCCS,C0017 -- AA-College of Nursing,40081 -- Beth-El UG Nursing,Beth-El UG Nursing,R25-1007417,LECTURER,Other Faculty,8.13,"$3,585.00",1
UCCS,C0021 -- VCEMSA-Athletics,40009 -- VCEMSA-Intercolleg Athletics,VCEMSA-Intercolleg Athletics,R25-1007465,ASST ATHLETIC TRAINER,Univ Staff - Athletics,100,"$52,000.00",0
UCCS,C0018 -- AA-School of Public Affairs,40084 -- CPS Administrative Ops,CPS Administrative Ops,R25-1007478,LECTURER,Other Faculty,45,"$6,700.00",0
UCCS,C0011 -- AA-College of Engineering,40042 -- EAS-Administrative Operations,EAS-Administrative Operations,R25-1007505,ACADEMIC SERVICES SENIOR PROF,Univ Staff - Academic Services,100,"$50,907.00",0
